sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,0,500000,0.5908923735554974,0.5199440000000001,0.15657502473792131,0.1,1.0,0.7647058823529412
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,6,500000,0.7448151479590611,0.699982,0.14895930944839406,0.4,1.0,0.4285714285714285
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,11,500000,0.5091674702101904,0.500324,0.12110533193349715,0.3,1.1,0.4
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,8,500000,0.8606703295817515,0.5999529999999998,0.16461499490154038,0.1,1.0,0.5
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,17,500000,0.9786417836216511,0.9000480000000001,0.16261748263109668,0.5,1.3,-0.4444444444444445
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,7,500000,-0.00011494685828577328,0.500012,0.12130127969724894,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,6,500000,-0.00011494685828577328,0.5000239999999999,0.12130127969724894,0.5,1.3,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,7,500000,0.5562344058480534,0.3000019999999999,0.18519647185687815,0.1,0.8,0.33333333333333326
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,7,500000,0.6778250297264005,0.43744900000000003,0.22581472380446382,0.1,0.8,0.7647058823529412
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,19,500000,0.5199399231060244,0.5499939999999999,0.11735642020142793,0.1,1.0,0.6363636363636364
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,13,500000,-6.241495044286846e-16,0.10000900000000001,0.13572561270539388,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,14,500000,0.9587219452902166,0.7998620000000003,0.16846344261040613,0.1,1.0,0.5
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,17,500000,0.9581405487252552,0.8998560000000002,0.1625696658158311,0.3,1.1,0.888888888888889
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,19,500000,0.5560641584829401,0.30007099999999987,0.1851813302487146,0.1,0.8,0.6666666666666666
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,17,500000,0.8719083140208538,1.149814,0.15722007821797537,0.4,1.0,0.30000000000000004
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,4,500000,0.6609342272580218,0.8500560000000003,0.13512155648594365,0.3,1.1,-0.5714285714285716
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,12,500000,0.8047015163136112,0.6000150000000001,0.15685224085188829,0.1,1.0,0.8333333333333334
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,11,500000,0.3049202500363689,0.5056379999999999,0.12458905678049696,0.1,1.0,0.23809523809523808
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,4,500000,0.5156113605215186,0.3001299999999999,0.14815484713083288,0.1,1.0,0.6666666666666666
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,14,500000,0.39416656590919935,0.6249870000000001,0.1345712528235864,0.1,1.0,0.8
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,5,500000,-5.747342914337978e-05,0.50004,0.1213037058198878,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,17,500000,-0.00018773937995104299,0.6000349999999998,0.1371974209071456,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,5,500000,0.5694866588902677,0.666584,0.12422844591355996,0.1,1.0,0.15789473684210537
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,10,500000,0.772483825176103,0.5999989999999998,0.13719513752144288,0.2,1.0,0.33333333333333326
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.15,0,500000,0.993198582324867,0.9998004999999999,0.16550094619693498,0.25,1.15,0.44999999999999996
